Date,Day Code,Time,Event Code,Event,Round/Heat,Class,Format,Style,Duration,Location,GM,Change Date,BGG_ID,BGG_Name,BGG_Rank,BGG_Rating
First Friday,,,,,,,,,,,,,,,,
7/24/26,FFr,15,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,,,,,
7/24/26,FFr,16,--,Open Gaming,--,--,--,--,8,Exhibit Hall,"Gutermuth, Ken",,,,,
7/24/26,FFr,19,--,Registration,--,--,--,--,2,Stag Pass,"Gutermuth, Ken",,,,,
7/24/26,FFr,20,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,,,,,
7/24/26,FFr,23,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,,,,,
First Saturday,,,,,,,,,,,,,,,,
7/25/26,FSa,8,--,Registration,--,--,--,--,12,Stag Pass,"Gutermuth, Ken",,,,,
7/25/26,FSa,9,--,Open Gaming,--,--,--,--,15,Exhibit Hall,"Buckwalter, Scott",,,,,
7/25/26,FSa,9,--,Open Gaming Library Opens,--,--,--,--,6,Exhibit Hall,"Buckwalter, Scott",,,,,
7/25/26,FSa,9,7WD,7 Wonders Duel,Demo 1/1,--,--,--,1,Exhibit Hall Annex #1,"Maguire, Patrick",,173346.0,7 Wonders Duel,24.0,8.07646
7/25/26,FSa,9,8XX,18xx,Demo 1/1,--,,--,1,Alpine,"McCorry, Tom",,,,,
7/25/26,FSa,9,AMR,Amun Re,Demo 1/1,--,--,---,1,Timberstone,"Freeman, Eric",,5404.0,Amun-Re,603.0,7.28237
7/25/26,FSa,9,CAS,Cascadia,Demo 1/1,--,--,---,1,Exhibit Hall Annex #3,"Allen, Henry",,295947.0,Cascadia,59.0,7.88871
7/25/26,Fsa,9,EVD,Everdell,Demo 1/1,--,--,---,1,Exhibit Hall Annex #4,"Martin, Andrew",,199792.0,Everdell,43.0,7.98033
7/25/26,FSa,9,5TR,Five Tribes,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"Wildes, Chris",,157354.0,Five Tribes: The Djinns of Naqala,97.0,7.76401
7/25/26,FSa,9,PZB,Panzerblitz,Demo 1/1,--,--,---,1,Winterberry,"Northey, Rick",,2238.0,PanzerBlitz,3557.0,6.64271
