Boardgame Players Association,,,,,,,,,,,,
2026 WBC Schedule,,,,,,,,,,,,
,,,,,,,,,,,,
Chronological Web Schedule,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Day Code,Time,Event Code,Event,Round/Heat,Class,Format,Style,Duration,Location,GM,Change Date
First Friday,,,,,,,,,,,,
7/24/26,FFr,15,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,
7/24/26,FFr,16,--,Open Gaming,--,--,--,--,8,Exhibit Hall,"Gutermuth, Ken",
7/24/26,FFr,19,--,Registration,--,--,--,--,2,Stag Pass,"Gutermuth, Ken",
7/24/26,FFr,20,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,
7/24/26,FFr,23,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,
First Saturday,,,,,,,,,,,,
7/25/26,FSa,8,--,Registration,--,--,--,--,12,Stag Pass,"Gutermuth, Ken",
7/25/26,FSa,9,--,Open Gaming,--,--,--,--,15,Exhibit Hall,"Buckwalter, Scott",
7/25/26,FSa,9,--,Open Gaming Library Opens,--,--,--,--,6,Exhibit Hall,"Buckwalter, Scott",
7/25/26,FSa,9,7WD,7 Wonders Duel,Demo 1/1,--,--,--,1,Exhibit Hall Annex #1,"Maguire, Patrick",
7/25/26,FSa,9,8XX,18xx,Demo 1/1,--,,--,1,Alpine,"McCorry, Tom",
7/25/26,FSa,9,AMR,Amun Re,Demo 1/1,--,--,---,1,Timberstone,"Freeman, Eric",
7/25/26,FSa,9,CAS,Cascadia,Demo 1/1,--,--,---,1,Exhibit Hall Annex #3,"Allen, Henry",
7/25/26,Fsa,9,EVD,Everdell,Demo 1/1,--,--,---,1,Exhibit Hall Annex #4,"Martin, Andrew",
7/25/26,FSa,9,5TR,Five Tribes,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"Wildes, Chris",
7/25/26,FSa,9,PZB,Panzerblitz,Demo 1/1,--,--,---,1,Winterberry,"Northey, Rick",
7/25/26,FSa,9,ROT,Root,Demo 1/1,--,--,---,1,Sunburst,"McKinnes, Luke",
7/25/26,FSa,9,SJN,San Juan,Demo 1/1,--,--,---,1,Fox Den,"Mullet, Jeff",
